Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
40,0,45.4863,-152.462,993.017,28.3737,89.4033,978.9,,,,225.223,120.768,986.46,87.7653,-213.487,692.344,121.04,-201.531,565.427,148.735,-222.417,446.044,229.415,-210.221,79.8625,308.202,-144.841,75.6956,59.2226,-230.675,42.4154,83.6302,164.853,829.383,132.783,168.911,556.468,179.148,189.402,272.576,250.401,188.516,76.5712,320.909,114.431,62.8614,78.368,222.139,37.9812
41,0,45.4315,-152.557,993.072,28.4679,89.2711,978.796,270.205,-98.2603,1001.64,225.227,120.695,986.485,87.6826,-213.575,692.354,121.013,-201.632,565.474,148.727,-222.475,446.038,229.333,-210.217,79.8329,308.16,-144.815,75.6626,59.197,-230.666,42.4294,83.7057,164.788,829.382,132.803,168.817,556.476,179.147,189.385,272.562,250.401,188.558,76.6064,320.856,114.433,62.8658,78.3077,222.139,38.0734
42,0,45.4022,-152.673,993.029,28.4787,89.1748,978.777,,,,225.217,120.643,986.43,87.6457,-213.658,692.335,120.946,-201.699,565.459,148.68,-222.514,446.026,229.284,-210.204,79.864,308.122,-144.771,75.6862,59.1767,-230.636,42.4496,83.0499,164.408,830.017,132.765,168.742,556.407,179.122,189.372,272.502,250.404,188.573,76.5597,320.855,114.434,62.9404,78.2575,222.141,38.0839
43,0,45.4535,-152.774,993.009,28.497,89.0902,978.754,270.16,-98.4241,1001.53,225.239,120.531,986.347,87.698,-213.729,692.328,120.943,-201.759,565.373,148.675,-222.531,445.974,229.374,-210.167,79.9771,308.074,-144.781,75.6354,59.1497,-230.634,42.4357,83.6429,164.543,829.362,132.785,168.647,556.331,179.093,189.355,272.469,250.337,188.56,76.5453,320.884,114.424,62.9665,78.2643,222.138,38.0321
44,0,45.5452,-152.899,992.963,28.5919,88.9982,978.766,,,,225.334,120.368,986.321,87.7552,-213.82,692.268,121.039,-201.807,565.353,148.762,-222.603,445.934,229.399,-210.193,79.9492,308.156,-144.798,75.6337,59.1985,-230.654,42.3941,84.8868,163.447,828.395,132.749,168.577,556.364,179.116,189.325,272.458,250.381,188.522,76.5537,320.976,114.432,62.9073,78.3141,222.145,38.0531
45,0,45.6487,-152.984,992.887,28.6145,88.9226,978.823,270.475,-98.895,1001.52,225.481,120.18,986.308,87.8291,-213.93,692.238,121.045,-201.893,565.258,148.787,-222.666,445.933,229.445,-210.242,79.817,308.217,-144.828,75.5873,59.2494,-230.686,42.4019,84.5639,163.956,829.015,132.647,168.573,556.586,179.11,189.296,272.551,250.401,188.487,76.5464,321.052,114.425,62.8071,78.3663,222.122,38.0811
46,0,45.7264,-153.108,992.83,28.7526,88.8131,978.803,270.274,-98.8737,1001.24,225.62,119.991,986.361,87.8677,-214.04,692.177,121.058,-201.985,565.233,148.832,-222.764,445.934,229.414,-210.271,79.8434,308.225,-144.862,75.6291,59.2843,-230.708,42.4523,84.6406,163.823,829.05,132.645,168.493,556.663,179.092,189.271,272.58,250.372,188.457,76.6508,321.004,114.434,62.7893,78.3798,222.092,38.106
47,0,45.7237,-153.194,992.799,28.8233,88.7303,978.785,270.417,-99.0856,1001.42,225.725,119.849,986.309,87.8705,-214.146,692.196,121.12,-202.063,565.295,148.833,-222.8,445.937,229.423,-210.256,79.8586,308.248,-144.843,75.6747,59.2654,-230.697,42.4343,84.7052,163.699,829.005,132.671,168.404,556.577,179.116,189.241,272.565,250.407,188.473,76.613,321.006,114.405,62.7934,78.3582,222.12,38.1271
48,0,45.6468,-153.268,992.825,28.8333,88.6666,978.761,270.29,-99.1238,1001.32,225.81,119.72,986.246,87.835,-214.221,692.183,121.103,-202.121,565.21,148.838,-222.857,445.922,229.406,-210.251,79.7656,308.272,-144.832,75.5639,59.2631,-230.66,42.3827,84.8267,163.594,828.899,132.646,168.3,556.524,179.15,189.185,272.461,250.449,188.471,76.5074,321.041,114.423,62.8057,78.3612,222.121,38.0417
49,0,45.5392,-153.347,992.925,28.8932,88.599,978.714,270.194,-99.2726,1001.21,225.852,119.627,986.233,87.7969,-214.308,692.23,121.093,-202.22,565.231,148.803,-222.906,445.898,229.4,-210.197,79.7271,308.244,-144.825,75.5433,59.2355,-230.676,42.3449,84.9066,163.545,828.857,132.695,168.179,556.405,179.151,189.181,272.396,250.507,188.526,76.4411,320.999,114.438,62.7684,78.3527,222.131,37.9764
