Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
39,0,185.887,-115.191,994.991,163.698,125.976,981.482,407.96,-49.6361,1002.92,357.17,165.301,1002.03,219.073,-170.215,697.076,242.529,-156.637,576.427,268.608,-180.109,446.986,340.197,-164.508,81.3105,413.289,-92.5242,74.4235,170.848,-197.088,45.5309,211.588,208.992,832.958,239.522,216.333,561.611,272.875,240.679,276.146,334.365,238.841,77.7532,396.859,165.367,82.6562,161.271,274.852,45.4131
40,0,185.941,-115.13,995.005,163.827,125.979,981.433,407.942,-49.6023,1002.92,357.292,165.387,1002.05,219.093,-170.222,697.095,242.573,-156.676,576.551,268.585,-180.088,447.028,340.199,-164.511,81.4862,413.224,-92.5049,74.4397,170.781,-197.032,45.6035,211.726,208.984,832.872,239.501,216.396,561.674,272.792,240.72,276.176,334.255,238.857,77.7694,396.846,165.413,82.8112,161.234,274.832,45.4618
41,0,185.905,-115.109,994.967,163.896,126.038,981.338,407.916,-49.6506,1003.03,357.171,165.463,1002.04,219.008,-170.189,697.158,242.543,-156.73,576.757,268.468,-180.057,447.098,340.114,-164.53,81.5954,413.06,-92.4502,74.4585,170.611,-197.007,45.6034,211.765,208.987,832.745,239.358,216.497,561.654,272.619,240.785,276.22,334.088,238.941,77.7639,396.604,165.32,82.9216,161.057,274.897,45.5314
42,0,185.969,-115.102,995.03,163.924,126.024,981.352,407.907,-49.6542,1003.08,357.201,165.487,1002.11,218.957,-170.192,697.207,242.453,-156.734,576.793,268.384,-180.076,447.181,339.931,-164.578,81.5585,413.018,-92.5005,74.4682,170.537,-197.007,45.7325,211.793,208.986,832.78,239.288,216.491,561.761,272.563,240.819,276.313,334.039,238.964,77.862,396.358,165.26,83.0018,160.972,274.92,45.5697
43,0,186.1,-115.121,995.067,164.044,125.97,981.396,407.987,-49.6091,1003.03,357.289,165.473,1002.15,218.999,-170.209,697.275,242.487,-156.748,576.801,268.441,-180.098,447.232,339.925,-164.529,81.6439,412.982,-92.4962,74.5567,170.505,-197.026,45.7358,211.832,208.965,832.85,240.206,216.654,560.876,272.555,240.852,276.401,333.987,238.94,77.9137,396.123,165.162,83.0375,160.988,274.922,45.6061
44,0,186.322,-115.172,995.036,164.09,125.985,981.467,408.124,-49.5762,1002.91,357.401,165.459,1002.08,219.168,-170.231,697.245,242.592,-156.714,576.722,268.587,-180.108,447.208,339.986,-164.524,81.5287,413.108,-92.534,74.4636,170.564,-197.035,45.6526,211.88,208.991,832.904,240.266,216.643,560.877,272.606,240.844,276.394,333.992,238.924,77.8919,396.218,165.086,83.152,161.069,274.899,45.4938
45,0,186.521,-115.194,995.076,164.225,125.941,981.448,408.367,-49.5566,1002.87,357.567,165.49,1002.02,219.279,-170.293,697.265,242.779,-156.731,576.699,268.763,-180.131,447.159,340.067,-164.534,81.4402,413.133,-92.5052,74.4164,170.621,-197.055,45.5819,211.971,209.013,832.89,239.52,216.478,561.854,272.671,240.811,276.376,334.028,238.866,77.8505,396.28,165.095,83.0588,161.119,274.904,45.4218
46,0,186.689,-115.238,995.116,164.313,125.887,981.442,408.532,-49.5305,1002.86,357.635,165.491,1002,219.413,-170.327,697.255,242.916,-156.758,576.643,268.838,-180.149,447.104,340.069,-164.51,81.4329,413.129,-92.4916,74.4137,170.654,-197.058,45.5806,212.068,209.001,832.878,239.646,216.417,561.773,272.718,240.777,276.341,334.107,238.881,77.8194,396.319,165.122,82.9959,161.149,274.846,45.4325
47,0,186.823,-115.29,995.148,164.376,125.83,981.438,408.729,-49.5012,1002.93,357.693,165.5,1001.98,219.583,-170.363,697.267,243.03,-156.81,576.755,268.939,-180.142,447.171,340.123,-164.515,81.5218,413.123,-92.4728,74.4295,170.668,-197.043,45.5903,212.126,208.968,832.929,239.706,216.377,561.759,272.743,240.758,276.278,334.153,238.893,77.8136,396.522,165.226,82.9828,161.106,274.875,45.4904
48,0,186.967,-115.318,995.206,164.515,125.768,981.465,408.887,-49.4645,1002.88,357.786,165.521,1001.96,219.783,-170.347,697.296,243.191,-156.833,576.857,269.036,-180.172,447.151,340.145,-164.486,81.5319,413.125,-92.4817,74.417,170.708,-197.023,45.6318,212.147,208.918,833.009,239.781,216.356,561.754,272.822,240.731,276.24,334.227,238.903,77.7869,398.812,165.345,84.4952,161.122,274.862,45.5143
