Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
6977954.0000,-0.0053,0.0114,9.8600,0.0018,0.0011,-0.0001,27.7300
7000954.0000,-0.0053,-0.0086,9.7600,0.0018,0.0011,-0.0001,27.7300
7023954.0000,0.0647,-0.0086,9.7300,0.0018,0.0011,-0.0001,27.7300
7046954.0000,0.0347,0.0014,9.8100,0.0018,-0.0089,-0.0001,27.7300
7069954.0000,-0.0153,0.0214,9.8600,0.0018,0.0011,-0.0001,27.7300
7092953.0000,-0.0753,0.0214,9.7300,0.0018,0.0011,-0.0001,27.7800
7115954.0000,0.0347,-0.0486,9.8500,0.0018,0.0011,-0.0001,27.6800
7138954.0000,-0.0353,-0.0186,9.7700,0.0018,0.0011,-0.0001,27.6800
7161953.0000,-0.0253,0.0514,9.8300,0.0018,0.0011,-0.0001,27.7800
7184954.0000,-0.0453,-0.0086,9.8600,0.0018,0.0011,-0.0001,27.6400
7207954.0000,0.0047,-0.0186,9.8000,0.0018,0.0011,-0.0001,27.7300
7230954.0000,0.0347,0.0314,9.7600,0.0018,0.0011,-0.0001,27.7300
7253954.0000,-0.0453,-0.0186,9.8600,0.0018,0.0011,-0.0001,27.6400
7276954.0000,0.0047,0.0114,9.8800,-0.0082,0.0011,-0.0001,27.6800
7299954.0000,-0.0353,0.0214,9.8200,0.0018,-0.0089,-0.0001,27.6800
7322954.0000,-0.0053,0.0514,9.8300,0.0018,0.0011,-0.0001,27.6800
7345953.0000,-0.0453,-0.0586,9.8500,-0.0082,0.0011,-0.0001,27.7800
7368953.0000,0.0947,0.0114,9.7800,-0.0082,0.0011,-0.0001,27.7800
7391954.0000,0.0147,-0.0186,9.8200,0.0018,0.0011,-0.0001,27.6400
7414954.0000,-0.0053,0.0114,9.8200,0.0018,0.0011,0.0099,27.6400
7437954.0000,-0.0553,-0.0186,9.7400,-0.0082,0.0011,-0.0001,27.6400
7460954.0000,-0.0053,0.0214,9.8600,0.0018,0.0011,-0.0001,27.7300
7483954.0000,0.0447,-0.0086,9.8100,0.0018,0.0011,-0.0001,27.6400
7506954.0000,0.0147,0.0214,9.8400,0.0018,0.0011,-0.0001,27.7300
7529954.0000,-0.0053,0.1014,9.8100,0.0018,0.0011,-0.0001,27.6800
7552954.0000,-0.0053,0.0514,9.7400,0.0018,0.0011,-0.0001,27.6800
7575954.0000,0.0247,0.0114,9.8100,0.0018,0.0011,-0.0001,27.7300
7598954.0000,-0.0053,-0.0486,9.8500,0.0018,0.0011,-0.0001,27.7300
7621954.0000,-0.0253,-0.0386,9.8200,0.0018,0.0011,-0.0001,27.7300
7644954.0000,-0.0153,0.0414,9.8100,0.0018,0.0011,-0.0001,27.6400
7667954.0000,-0.0453,-0.0586,9.7800,-0.0082,-0.0089,-0.0001,27.6400
7690954.0000,0.0547,0.0014,9.8500,0.0018,0.0011,-0.0001,27.6800
7713953.0000,-0.0353,0.0014,9.8400,0.0018,0.0011,-0.0001,27.7800
7736954.0000,0.0347,-0.0186,9.8800,0.0018,0.0011,-0.0001,27.6800
